ID,experimentClass,trialNumber,completionDateTime,startDateTime,startDateNb,startSecsNb,nbPumps,isCollected,isExploded,lastTrialTime,order,trialOrder
S1_1004,BalloonDeflate,14,17735.65494670139,17735.654911655092,17735,56584.367,9,1,0,1.03,4,74
S1_1004,BalloonDeflate,15,17735.654989502316,17735.65495583333,17735,56588.184,12,1,0,1.006,4,75
S1_1004,BalloonDeflate,16,17735.655041608796,17735.655000775463,17735,56592.067,12,1,0,1.315,4,76
S1_1004,BalloonDeflate,17,17735.655102418983,17735.655060405094,17735,56597.219,14,1,0,1.08,4,77
S1_1004,BalloonDeflate,18,17735.655159409722,17735.65511664352,17735,56602.078,15,1,0,1.118,4,78
S1_1004,BalloonDeflate,19,17735.65521074074,17735.655170729166,17735,56606.751,14,1,0,1.107,4,79
S1_1004,BalloonDeflate,20,17735.655239872685,17735.65522449074,17735,56611.396,3,1,0,0.951,4,80
S1_1005,BalloonInflate,1,17735.696678796296,17735.69654491898,17735,60181.481,20,1,0,1.826,1,1
S1_1005,BalloonInflate,2,17735.696990833334,17735.696738217594,17735,60198.182,81,0,1,NA,1,2
S1_1005,BalloonInflate,3,17735.697225266205,17735.697015625,17735,60222.15,70,1,0,2.08,1,3
S1_1005,BalloonInflate,4,17735.697258275464,17735.697253391205,17735,60242.693,3,0,1,NA,1,4
S1_1005,BalloonInflate,5,17735.697393368057,17735.69731252315,17735,60247.802,33,0,1,NA,1,5
S1_1005,BalloonInflate,6,17735.69750664352,17735.69741820602,17735,60256.933,25,1,0,1.831,1,6
S1_1005,BalloonInflate,7,17735.697543472223,17735.697529907407,17735,60266.584,7,0,1,NA,1,7
S1_1005,BalloonInflate,8,17735.697697106483,17735.697571875,17735,60270.21,40,1,0,1.701,1,8
S1_1005,BalloonInflate,9,17735.697819293982,17735.69771971065,17735,60282.983,44,0,1,NA,1,9
S1_1005,BalloonInflate,10,17735.697937962963,17735.69784744213,17735,60294.019,30,1,0,1.716,1,10
S1_1005,BalloonInflate,11,17735.698021516204,17735.697955925927,17735,60303.392,28,0,1,NA,1,11
